gp_ip_cmd_lin,gp_ip_cmd_ang,gp_ip_curr_lin,gp_ip_curr_ang,Asphalt_Lin_Error,Asphalt_Ang_Error,Grass_Lin_Error,Grass_Ang_Error,Tile_Lin_Error,Tile_Ang_Error
0.3,-0.0,0.4,0.0,0.0133131771541163,0.000798699599357,0.0053158751078202,0.0030116858917264,0.0080502154858985,0.001134284493343
0.6,-0.5,0.5,-0.4,-0.0189826503686965,0.0035144719327135,-0.0077770299090285,-0.0022056412068955,-0.0143576528083807,-0.0023476850839154
1.4,-0.0,1.2,0.0,-0.0136655498378215,-0.0004754034553786,-0.0056400612065703,-0.0031536776064335,-0.0287060254980508,0.0017571916116171
1.0,-0.0,0.9,0.0,-0.0054358395881084,0.0007639362898906,-0.0016707493790818,-0.0005670100796498,-0.0003827619949189,0.00204077494636
1.2,0.7,0.6,0.3,-0.0622916991936111,0.0199390420226536,-0.0828191704248301,0.0149544626783083,-0.0678298557738499,-0.0051931753445298
0.1,0.1,0.0,-0.0,-0.0184319717117753,0.0083010785253862,-0.0258973045052625,0.0009368148115243,-0.0271763248406556,-0.0026221230472126
1.4,0.4,1.4,0.2,-1.7674644654519511e-06,0.0022507311508769,-0.0070419610795313,0.0214247635221809,0.0179631118743427,-0.0004907542068149
1.0,-0.7,0.9,-0.4,0.0008170457422653,-0.0155642496561886,0.0053261589487801,-0.0209351065761257,-0.034163322751597,-0.012136059595881
0.2,0.5,0.2,0.3,-0.0022041276804626,0.005237147362456,-0.0082754439294452,-0.0130044719351591,-0.0040867437705468,0.0109613200118434
1.2,-0.2,1.2,-0.1,0.0117744106922664,-0.001325979725897,-0.0018987060746478,-0.0072641812637973,0.0186310983821758,-0.0029916912092625
0.8,-0.1,0.7,-0.0,0.0029769111595404,0.0025233303251118,-0.0674138883334087,-0.0060670397518534,0.0098613968263316,0.0029871734713931
0.8,0.5,0.3,0.1,-0.0411475860388343,0.0054920091691974,-0.0605818600388441,0.0037847105422132,-0.0605484355476041,0.0026258322449955
0.8,0.3,0.8,0.1,0.0261027167064148,0.0030308337698023,0.0092398772388692,0.0015939173413705,0.0116256801605715,-0.0102188943872374
1.0,0.1,0.9,0.1,-0.0069844944121624,-0.000796851739084,-0.006843277501334,0.0014120093052353,0.0023299845487237,0.0031730355985169
1.4,-0.4,1.3,-0.3,-0.0172315883737075,-0.0131537435525589,0.0378812921105245,-0.0172987984922256,-0.0232351136196414,-0.0179413219331936
0.3,0.3,0.5,0.4,0.0204849432379581,0.0064729986785304,0.0225843432629764,0.0072664224322877,0.0395529844536833,0.0198019917246593
1.7,0.0,1.4,-0.1,-0.0317424217801453,-0.0041819865268805,0.0093674551714566,0.0065728823337365,-0.034665313172103,-0.0029308294467192
1.3,0.2,1.2,0.2,0.015965434946235,0.0046642577046779,-0.018109941202111,-0.0026276777334058,0.0104686041797659,0.0061309539492171
1.6,1.0,0.9,0.5,-0.1111147690339835,0.024836219024605,-0.1261393634387477,-0.0218245896999259,-0.0707065525660086,0.0105226818409449
0.3,-0.0,0.2,0.0,-0.0292175072984124,0.0010000603080414,-0.010647394568047,-0.0008332391194392,-0.0031352606692141,0.0020575242277215
0.1,0.7,0.4,0.9,0.0380908852687824,-0.0107992809638215,0.0553546668440108,0.0284192812124211,0.0634676959835897,0.0165902876347235
1.0,-0.4,0.9,-0.2,0.0065243196259305,-0.0029256577143575,-0.0028362002531741,-0.0125183943258375,-0.0295272042315634,-0.0075056409493182
0.2,0.9,0.3,0.9,0.0235419918069585,0.0241932921762449,0.0380949596265161,0.0053548810075917,0.0228406049796823,0.030901707120663
0.4,0.2,0.0,0.0,-0.0232955469079104,-0.0025513453937345,-0.035232323483545,-0.0018080216438338,-0.036244526622306,-0.0150712697197673
1.0,1.0,0.8,0.9,-0.057650785672716,0.0180407617789559,-0.0356082658897764,0.0400041141121927,-0.0556964701263407,0.0438640717583946
0.8,-0.0,0.8,-0.0,0.0001032989157074,-0.0024648577890891,0.0094028921189588,0.0002422676899446,-0.00474856154597,0.0025146806323093
0.6,-0.0,0.6,-0.0,0.0006537964462817,0.000570239478549,0.0002597279103078,0.0011256854451735,0.0023148342450386,0.0018168544582428
0.9,0.4,0.8,0.4,-0.0139675079727621,-0.0006459152990446,0.0163014075115409,0.0061032715581208,-0.0125055653173425,0.0105992973738684
0.6,-0.2,0.6,-0.1,0.0137767170671371,0.007106829982027,0.00623635453519,0.0032915548154936,0.005302845597386,0.0059047652225054
0.6,0.3,0.5,0.2,-0.0636083814856136,-0.0141595408881478,-0.0052218452821404,0.0050418639302666,-0.0027696370357461,-0.0033561362485075
1.2,-0.1,1.1,-0.0,0.0130836120329559,0.0010454606012401,-0.0074159530138886,0.0034816602117914,-0.0029087832799492,0.003785747899395
0.9,-0.8,0.8,-0.7,0.0043675087188872,-0.026639843261128,-0.0080164273524016,-0.0291369319649847,-0.0021408680686586,-0.0289443114508803
0.4,0.5,0.3,0.4,-0.0011533630162069,0.0089607168074096,-0.0088242091354575,0.0035644311984892,-0.0052812931736906,0.0083173781153163
1.1,0.6,1.0,0.5,0.0043725888317608,0.0298367918017451,-0.0271656778055424,0.0246413867869685,-0.0016943765828769,0.0353274299389185
0.4,0.6,0.8,0.8,0.0597780373591336,0.0454148361186316,0.0080012869480338,0.0055297811741379,0.0571968202314178,0.0173601156556841
1.2,-0.4,1.1,-0.3,-0.000898610200019,-0.0056881397798909,-0.0021733966452646,-0.0146434102711136,-0.018934957641671,-0.0068948315213384
1.3,-0.0,1.1,-0.1,-0.0106866545183951,-0.0029217234062711,0.0049100453712733,0.0166554927273779,-0.0064017361276688,-0.0019032482964734
0.1,1.0,0.1,0.8,0.0204952131481149,0.0093126437823282,0.0047424895291456,-0.0227687140775509,0.0144041733687668,0.0149643142181472
1.3,0.4,1.2,0.3,-0.0130979203175229,0.0106477972017342,-0.021107231055937,0.0184636881066792,-0.0138335468870258,0.01143556696012
1.0,-0.0,0.8,-0.1,0.0155092684475177,-1.319420942651195e-05,0.006621874698028,-0.000255875134866,-0.0047825276830015,-0.0075931491967393
1.2,-0.2,1.0,-0.3,0.0553995020393387,-0.011834794813202,0.0678537643261132,0.0120427697037041,-0.0232239945930406,-0.0065767657165438
1.5,1.4,1.2,0.9,-0.0833698105384861,0.0881096464840819,-0.0755569208467736,0.0665130186265488,-0.1098897332233088,0.0833414845801661
0.1,0.5,0.1,0.3,0.00237843909044,0.0008757669393979,-0.0121306124668606,-0.016446336449986,-0.0005494159238772,0.0078756863527546
0.9,0.1,0.8,0.1,-0.0014338752228081,-0.0011182537093736,-0.0132299919311591,0.0014093065505677,-0.0005307019352098,-0.0044054857086079
0.9,-0.3,0.8,-0.1,-0.0048259672275181,-0.0011155510529298,-0.0255151096652903,-0.0041900738174745,0.0174684919168457,-0.0014354587237596
1.0,0.2,1.0,0.2,-0.023523475901476,0.0141437647306404,-0.0070675115277639,0.0040096942567742,0.0125549975927058,0.0026293754451827
1.4,-0.2,1.3,-0.1,-0.0078686265820245,-0.0008779742943248,-0.0286003497844018,0.0212180599504175,-0.0033063396772632,0.0013892450198595
1.0,1.0,0.8,0.7,0.0123711894674512,0.0199563584683885,-0.0181698137008211,0.035382655199594,-0.0326335473828601,0.041021528239745
